organization_name,organization_type,ticker_symbol,city,state,fortune_rank,industry_sector,estimated_min_sponsorship,estimated_max_sponsorship,estimated_typical_sponsorship,sponsorship_likelihood_score,arts_education_potential,data_source,created_at,geographic_priority
Biogen,corporation,BIIB,Cambridge,CA,290,Healthcare,5500,165000,27500,71,High,Fortune 1000 Analysis,2025-10-26T20:08:22.909704,High
Airbnb,corporation,ABNB,San Francisco,CA,320,Technology,7500,225000,37500,88,High,Fortune 1000 Analysis,2025-10-26T20:08:22.908327,High
Sempra Energy,corporation,SRE,San Diego,CA,340,Energy,4500,135000,22500,66,Medium,Fortune 1000 Analysis,2025-10-26T20:08:22.910795,High
Twitter,corporation,TWTR,San Francisco,CA,380,Technology,7500,225000,37500,82,High,Fortune 1000 Analysis,2025-10-26T20:08:22.908176,High
Paramount,corporation,PARA,Los Angeles,CA,380,Media & Entertainment,7000,210000,35000,82,High,Fortune 1000 Analysis,2025-10-26T20:08:22.909279,High
Intercontinental Exchange,corporation,ICE,Atlanta,NY,380,Other,5000,150000,25000,62,Medium,Fortune 1000 Analysis,2025-10-26T20:08:22.911904,High
Snap,corporation,SNAP,Santa Monica,CA,420,Technology,7500,225000,37500,78,High,Fortune 1000 Analysis,2025-10-26T20:08:22.908485,High
Simon Property Group,corporation,SPG,Indianapolis,NY,420,Real Estate,4000,120000,20000,58,Medium,Fortune 1000 Analysis,2025-10-26T20:08:22.910993,High
Lyft,corporation,LYFT,San Francisco,CA,450,Technology,7500,225000,37500,75,High,Fortune 1000 Analysis,2025-10-26T20:08:22.908001,High
Zoom,corporation,ZM,San Jose,CA,520,Technology,3750,112500,22500,68,Medium,Fortune 1000 Analysis,2025-10-26T20:08:22.908790,High
Gap,corporation,GPS,San Francisco,CA,580,Consumer,2500,75000,15000,42,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.910041,High
DocuSign,corporation,DOCU,San Francisco,CA,650,Technology,3750,112500,22500,55,Medium,Fortune 1000 Analysis,2025-10-26T20:08:22.908656,High
Boston Properties,corporation,BXP,Boston,NY,680,Real Estate,2000,60000,12000,32,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.911231,High
Levi Strauss,corporation,LEVI,San Francisco,CA,720,Consumer,2500,75000,15000,28,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.910164,High
Equity Residential,corporation,EQR,Chicago,CA,750,Real Estate,2000,60000,12000,25,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.911411,High
Slack,corporation,WORK,San Francisco,CA,780,Technology,3750,112500,22500,42,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.908894,High
Ralph Lauren,corporation,RL,New York,NY,850,Consumer,2500,75000,15000,20,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.907293,High
Williams-Sonoma,corporation,WSM,San Francisco,CA,890,Consumer,2500,75000,15000,20,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.910316,High
Tiffany & Co,corporation,TIF,New York,NY,920,Consumer,2500,75000,15000,20,Low,Fortune 1000 Analysis,2025-10-26T20:08:22.907572,High
