sponsor_name,city,state,email,website,template_number,template_type,first_name_used,email_subject,email_content,campaign_status,generated_date
Map Educational Fund,New York,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Sba Scholarship Fund,New York,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Beatitude Scholarship Fund,Sprngfld Gdns,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Flavin Scholarship Fund,Rochester,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Asum Scholarship Fund,Bronx,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Adb Scholarship Fund,Binghamton,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Nonprofit Finance Fund,New York,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Bunting Charity Lodge Charity Fund Inc,New York,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Wellspring Charity Fund,Brooklyn,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Bjls Charity Fund,Suffern,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Lorber Charitable Fund,Jericho,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Turkish Philanthropy Funds Inc,New York,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Oceanside Scholarship Fund,Oceanside,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Civic Involvement Fund,Brooklyn,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
Mbd Compass One B Housing Development Fund Company Inc,Bronx,NY,,,4,No Name + Never Donated,,Healing Through Arts: NYC Schools,"Hello,

We're excited to invite you to join us as a sponsor of Healing Through Arts: NYC Schools, an unforgettable evening where art, music, and community come together to create lasting impact for NYC students.

[Insert banner image here]
""Students performing arts in NYC schools""

Why sponsor this event?

Direct community impact: Every sponsorship dollar funds arts healing programs in underserved NYC schools.

Exclusive engagement: Connect with city leaders, artists, and philanthropists at a vibrant evening of performances, wine tasting, and conversations.

🎭 Healing Through Arts: NYC Schools Benefit
📅 Monday, November 18, 2025 | 7:00 PM – 9:00 PM (doors open 6:30 PM)
📍 Rake Wine Bar (45 1st Ave, NYC)
🎟️ $35 per ticket
✨ Arts displays & live performances
🥂 Wine tasting & hors d'oeuvres
🤝 Meet fellow changemakers

Every ticket funds arts healing programs—attend to see how you can support further.

👉 [Get Your Ticket]

Corporate sponsors: Companies can also support, attend to learn more.

With gratitude,
Jameera Mahima Gujjarlapudi
Community School of Arts Foundation
🌐 Website: csoaf.org
📞 Phone: 917 216-5176",ready_to_send,2025-10-22 15:56:07
